,pitcher,mean_fb_velo,mean_fb_spin,release_speed,release_spin_rate,corr_pitch_fb_release_speed,corr_pitch_fb_release_spin_rate,corr_pitch_sec_release_speed,corr_pitch_sec_release_spin_rate,corr_at_bat_fb_release_speed,corr_at_bat_fb_release_spin_rate,corr_at_bat_sec_release_speed,corr_at_bat_sec_release_spin_rate,fb_release_speed_threshold_drop,player_name,fb_release_spin_rate_threshold_drop,sec_release_speed_threshold_drop,sec_release_spin_rate_threshold_drop,role_key
978,671737,96.11919315403424,2291.712009803922,88.86361607142858,2353.9375,0.27814336226919967,0.13158000006233714,-0.10799608765247255,0.20997279997264098,-0.11476545260198043,-0.008111250248224419,-0.1291402952446373,-0.04604223039618688,57.52173913043478,"Bradley, Taj",54.130434782608695,59.43478260869565,44.608695652173914,SP
979,671790,93.50224719101125,2202.61797752809,93.56802721088435,2202.8843537414964,0.32459842420229873,0.17834540187896744,0.3443489160147192,0.1030596662454765,-0.36287961193847557,-0.18812658293016538,-0.2360881710771324,-0.014423383131257763,29.0,"Bolaños, Ronald",25.363636363636363,24.0,28.727272727272727,RP
980,672282,93.71317073170732,2096.6567363272566,87.72201834862386,2105.3824362606233,0.2052053261216575,0.08455944380999943,0.1104091972812567,0.011429385399036094,-0.3222453843423471,-0.1105107142168582,-0.14767531251360913,-0.11239211541196073,69.98275862068965,"Detmers, Reid",63.13793103448276,64.63157894736842,62.473684210526315,SP
981,672335,96.61853448275862,2160.9654054054054,83.70207468879669,2590.6304044630406,0.07268516289587544,-0.0009426850573528292,0.21639423120134996,0.060561975881308766,-0.030930202755215335,0.12245861742450953,0.12020091677051897,0.15834311621563926,9.717391304347826,"Pérez, Cionel",10.014492753623188,11.228187919463087,11.697986577181208,RP
982,672391,96.04548494983277,2233.5946398659967,85.2848708487085,2408.6925925925925,0.17870341492963307,0.008498709567360452,0.20431304161560773,0.12306910517445367,-0.07915804533440705,-0.1526619480758338,0.03547400087438051,-0.03138565679822964,12.361702127659575,"Ort, Kaleb",12.97872340425532,15.177777777777777,14.777777777777779,RP
983,672578,97.7215852442672,2392.742914979757,86.85305832147937,2051.619738751814,0.19154754751401565,-0.013905898127296491,0.1890015986146475,0.07365501183831984,-0.4391652793040868,-0.2485698877135963,-0.559955885904706,-0.19742593582690893,20.39316239316239,"Hernández, Carlos",22.017094017094017,24.45631067961165,24.718446601941746,RP
984,672582,94.35612535612536,2064.1452991452993,85.52699115044247,2450.7035398230087,0.1750130761540899,-0.026673865718527093,0.22601239889939212,-0.04336430133264621,-0.11702478816244483,0.19405657741251772,-0.1723438568314438,0.01540556858915297,32.10526315789474,"Zerpa, Angel",26.894736842105264,27.63157894736842,37.73684210526316,RP
985,672710,95.14856915739269,2377.7639109697934,83.71110065851363,2518.8617121354655,0.1004617583678963,0.039661084823017494,-0.011159769201887746,0.03903687848487237,-0.3308587185501736,-0.15326617222453018,-0.12101583077941434,-0.17597641608279377,53.51219512195122,"Contreras, Roansy",46.170731707317074,53.53658536585366,45.80487804878049,SP
986,672715,95.49137931034483,2374.3018181818184,85.67877758913413,2467.8520408163267,0.09178243415553682,-0.013708110296991096,0.08434911819270534,-0.01475406918368629,-0.15867306893633654,-0.18509973811018837,-0.18114774332856495,0.003682426304612541,47.5,"Patiño, Luis",47.3235294117647,40.911764705882355,40.705882352941174,SP
987,672730,94.66470588235295,2278.294117647059,94.03766233766234,2176.92,0.05171265288402743,0.08579302732189936,-0.06737537272001776,0.05685601924734406,0.23996243850724677,0.0389063942983069,0.03365227069492362,-0.25818433902225946,15.0,"Then, Juan",23.0,12.222222222222221,16.333333333333332,RP
