,MLBAMID,leverage_label,pitcher,time_of_game_label
396,606115,Low Leverage,606115,Late
397,606131,Low Leverage,606131,Late
398,606149,High Leverage,606149,Late
399,606160,Average Leverage,606160,Late
400,606162,Low Leverage,606162,Late
401,606213,Low Leverage,606213,Middle
402,606273,Low Leverage,606273,Late
403,606303,Average Leverage,606303,Late
404,606424,Low Leverage,606424,Middle
405,606625,Average Leverage,606625,Late
406,606930,Low Leverage,606930,Middle
407,606965,Average Leverage,606965,Middle
408,606993,Low Leverage,606993,Late
409,607054,Average Leverage,607054,Late
410,607067,Average Leverage,607067,Early
411,607179,Low Leverage,607179,Middle
412,607188,Low Leverage,607188,Late
413,607200,Low Leverage,607200,Late
414,607216,Average Leverage,607216,Middle
415,607219,Low Leverage,607219,Middle
416,607229,Low Leverage,607229,Early
417,607231,Average Leverage,607231,Middle
418,607237,Average Leverage,607237,Middle
419,607259,Average Leverage,607259,Late
420,607352,Average Leverage,607352,Early
421,607359,Average Leverage,607359,Late
422,607374,Low Leverage,607374,Middle
423,607391,Average Leverage,607391,Middle
424,607455,Low Leverage,607455,Middle
425,607457,Average Leverage,607457,Late
426,607461,Low Leverage,607461,Late
427,607468,Low Leverage,607468,Late
428,607481,Average Leverage,607481,Middle
429,607560,Low Leverage,607560,Late
430,607572,Average Leverage,607572,Middle
431,607609,Low Leverage,607609,Early
432,607625,Average Leverage,607625,Late
433,607680,Low Leverage,607680,Late
434,607732,Low Leverage,607732,Late
435,607755,High Leverage,607755,Late
436,608032,Low Leverage,608032,Late
437,608328,Low Leverage,608328,Middle
438,608334,Low Leverage,608334,Middle
439,608335,Average Leverage,608335,Middle
440,608344,Average Leverage,608344,Late
441,608348,Low Leverage,608348,Late
442,608349,High Leverage,608349,Late
443,608371,High Leverage,608371,Late
444,608379,Average Leverage,608379,Early
445,608638,Low Leverage,608638,Middle
446,608648,Average Leverage,608648,Middle
447,608650,Low Leverage,608650,Late
448,608652,Low Leverage,608652,Early
449,608665,Average Leverage,608665,Late
450,608678,Average Leverage,608678,Middle
451,608686,Average Leverage,608686,Late
452,608700,Low Leverage,608700,Late
453,608703,Low Leverage,608703,Late
454,608716,Average Leverage,608716,Late
455,608717,Average Leverage,608717,Late
456,608718,Average Leverage,608718,Middle
457,608723,Average Leverage,608723,Middle
458,611093,Low Leverage,611093,Late
459,612434,Average Leverage,612434,Middle
460,613534,Average Leverage,613534,Late
461,613564,Low Leverage,613564,Late
462,614177,Low Leverage,614177,Late
463,614179,Low Leverage,614179,Late
464,615698,Average Leverage,615698,Middle
465,617228,Low Leverage,617228,Middle
466,620396,Average Leverage,620396,Late
467,620443,Average Leverage,620443,Late
468,620454,Average Leverage,620454,Late
469,621002,Average Leverage,621002,Late
470,621011,Low Leverage,621011,Late
471,621016,Average Leverage,621016,Middle
472,621051,Average Leverage,621051,Middle
473,621052,High Leverage,621052,Late
474,621056,Low Leverage,621056,Middle
475,621057,Low Leverage,621057,Late
476,621074,Low Leverage,621074,Middle
477,621076,Average Leverage,621076,Early
478,621078,Low Leverage,621078,Late
479,621079,Low Leverage,621079,Early
480,621082,Low Leverage,621082,Middle
481,621098,Low Leverage,621098,Middle
482,621107,Average Leverage,621107,Late
483,621112,Average Leverage,621112,Middle
484,621114,Low Leverage,621114,Middle
485,621129,Average Leverage,621129,Early
486,621139,Low Leverage,621139,Late
487,621199,Average Leverage,621199,Late
488,621219,Average Leverage,621219,Early
489,621237,Average Leverage,621237,Late
490,621242,Average Leverage,621242,Late
491,621248,Low Leverage,621248,Late
492,621249,Average Leverage,621249,Middle
493,621259,Low Leverage,621259,Late
494,621261,Low Leverage,621261,Early
495,621294,Low Leverage,621294,Late
496,621295,Average Leverage,621295,Middle
497,621345,Average Leverage,621345,Late
498,621348,Low Leverage,621348,Middle
499,621363,High Leverage,621363,Late
500,621366,Average Leverage,621366,Middle
501,621368,Average Leverage,621368,Middle
502,621381,Average Leverage,621381,Middle
503,621383,Low Leverage,621383,Late
504,621389,Low Leverage,621389,Early
505,621433,Low Leverage,621433,Late
506,621500,Low Leverage,621500,Late
507,621532,Low Leverage,621532,Late
508,621593,Average Leverage,621593,Middle
509,622065,Average Leverage,622065,Middle
510,622072,Average Leverage,622072,Early
511,622075,Average Leverage,622075,Middle
512,622088,High Leverage,622088,Late
513,622092,Average Leverage,622092,Middle
514,622098,Average Leverage,622098,Late
515,622103,Low Leverage,622103,Middle
516,622110,Low Leverage,622110,Late
517,622250,Average Leverage,622250,Late
518,622251,Average Leverage,622251,Late
519,622253,Average Leverage,622253,Middle
520,622256,Low Leverage,622256,Early
521,622259,Low Leverage,622259,Late
522,622268,Low Leverage,622268,Late
523,622379,Low Leverage,622379,Late
524,622446,Low Leverage,622446,Late
525,622492,Low Leverage,622492,Early
526,622503,Low Leverage,622503,Middle
527,622554,Low Leverage,622554,Late
528,622569,Low Leverage,622569,Late
529,622663,Average Leverage,622663,Late
530,622694,Average Leverage,622694,Late
531,622766,Low Leverage,622766,Late
532,622772,Average Leverage,622772,Middle
533,622780,Average Leverage,622780,Late
534,622786,Average Leverage,622786,Middle
535,623149,High Leverage,623149,Late
